mtAddress, lat, lng, group, wheelchair, mtDay, start, end, type, spinterest, zone, mtlocation
"123 E 15TH ST, New York, NY", undefined, undefined , "ALIVE AGAIN", true,"Saturday", "1:00 PM", "2:00 PM" ,"S", "null",3, "Seafarers &amp; Intl House"
"61 GRAMERCY PARK N, New York, NY", undefined, undefined , "AT BILL''S PLACE", false,"Wednesday", "6:30 PM", "7:30 PM" ,"C", "null",3, "Calvary Church Parish House"
"155 E 22ND ST, New York, NY", undefined, undefined , "ATLANTIC BY THE BOOK", true,"Wednesday", "7:00 PM", "8:00 PM" ,"BB", "null",3, "Gustavus Adolphus Lutheran Church"
"127 E 22ND ST, New York, NY", undefined, undefined , "ATLANTIC DOWNTOWN", true,"Sunday", "7:00 PM", "8:00 PM" ,"O", "null",3, "Mabel Bacon High School of the Future"
"602 E 9TH ST, New York, NY", undefined, undefined , "AVENUE B CLEAN AND DRY", true,"Thursday", "7:00 PM", "8:15 PM" ,"C", "null",3, "Trinity Lower East Side Lutheran Parish"
"125 W 14TH ST, New York, NY", undefined, undefined , "BIG BOOK MAGIC", true,"Thursday", "7:45 PM", "8:45 PM" ,"BB", "Big Book Topic",3, "McBurney YMCA"
"346 W 20TH ST, New York, NY", undefined, undefined , "CHELSEA MORNINGS", false,"Tuesday", "8:00 AM", "9:00 AM" ,"B", "null",3, "St. Peters Episcopal Church- Rectory"
"346 W 20TH ST, New York, NY", undefined, undefined , "CHELSEA MORNINGS", false,"Monday", "8:00 AM", "9:00 AM" ,"OD", "null",3, "St. Peters Episcopal Church- Rectory"
"346 W 20TH ST, New York, NY", undefined, undefined , "CHELSEA MORNINGS", false,"Wednesday", "8:00 AM", "9:00 AM" ,"S", "null",3, "St. Peters Episcopal Church- Rectory"
"346 W 20TH ST, New York, NY", undefined, undefined , "CHELSEA MORNINGS", false,"Thursday", "8:00 AM", "9:00 AM" ,"BB", "null",3, "St. Peters Episcopal Church- Rectory"
"346 W 20TH ST, New York, NY", undefined, undefined , "CHELSEA MORNINGS", false,"Friday", "8:00 AM", "9:00 AM" ,"C", "Meditation",3, "St. Peters Episcopal Church- Rectory"
"346 W 20TH ST, New York, NY", undefined, undefined , "CHELSEA MORNINGS", false,"Saturday", "8:00 AM", "9:00 AM" ,"OD", "null",3, "St. Peters Episcopal Church- Rectory"
"125 W 14TH ST, New York, NY", undefined, undefined , "CHELSEA NOONERS", true,"Tuesday", "12:00 PM", "1:00 PM" ,"C", "null",3, "McBurney YMCA"
"125 W 14TH ST, New York, NY", undefined, undefined , "CHELSEA NOONERS", true,"Thursday", "12:00 PM", "1:00 PM" ,"C", "null",3, "McBurney YMCA"
"414 E 14TH ST, New York, NY", undefined, undefined , "COMPLETE ABANDON", true,"Wednesday", "8:30 PM", "9:30 PM" ,"S", "null",3, "Our Lady of Immaculate Conception"
"119 NINTH AVE, New York, NY", undefined, undefined , "COMPLETELY SOBER", true,"Monday", "6:45 PM", "8:00 PM" ,"OD", "null",3, "Fulton Senior Center"
"28 GRAMERCY PARK S, New York, NY", undefined, undefined , "CROSSROADS", true,"Saturday", "4:00 PM", "5:00 PM" ,"O", "null",3, "Christopher House"
"28 GRAMERCY PARK S, New York, NY", undefined, undefined , "CROSSROADS", true,"Sunday", "4:00 PM", "5:00 PM" ,"O", "null",3, "Christopher House"
"202 W 24 ST, New York, NY", undefined, undefined , "EAST MEETS WEST IN SOBRIETY", true,"Wednesday", "7:00 PM", "8:00 PM" ,"C", "null",3, "Brotherhood Synagogue"
"50 E 7TH ST, New York, NY", undefined, undefined , "EAST VILLAGE GROUP", false,"Tuesday", "7:00 PM", "8:00 PM" ,"O", "null",3, "Middle Collegiate Church"
"50 E 7TH ST, New York, NY", undefined, undefined , "EAST VILLAGE GROUP", false,"Saturday", "7:00 PM", "8:00 PM" ,"B", "null",3, "Middle Collegiate Church"
"50 E 7TH ST, New York, NY", undefined, undefined , "EAST VILLAGE GROUP", false,"Saturday", "7:00 PM", "8:00 PM" ,"OD", "null",3, "Middle Collegiate Church"
"50 E 7TH ST, New York, NY", undefined, undefined , "EAST VILLAGE GROUP", false,"Sunday", "7:00 PM", "8:00 PM" ,"BB", "null",3, "Middle Collegiate Church"
"50 E 7TH ST, New York, NY", undefined, undefined , "EAST VILLAGE GROUP", false,"Tuesday", "7:00 PM", "8:15 PM" ,"S", "null",3, "Middle Collegiate Church"
"50 E 7TH ST, New York, NY", undefined, undefined , "EAST VILLAGE GROUP", false,"Tuesday", "8:30 PM", "9:30 PM" ,"C", "null",3, "Middle Collegiate Church"
"50 E 7TH ST, New York, NY", undefined, undefined , "EAST VILLAGE GROUP", false,"Saturday", "8:30 PM", "9:30 PM" ,"C", "null",3, "Middle Collegiate Church"
"273 BOWERY, New York, NY", undefined, undefined , "EXPERIENCE STRENGTH AND HOPE", true,"Wednesday", "7:00 PM", "8:00 PM" ,"C", "null",3, "University Settlement House"
"802 BROADWAY, New York, NY", undefined, undefined , "GRACE ON BROADWAY", true,"Monday", "8:15 AM", "9:15 AM" ,"O", "null",3, "Grace Church Office Building"
"802 BROADWAY, New York, NY", undefined, undefined , "GRACE ON BROADWAY", true,"Tuesday", "8:15 AM", "9:15 AM" ,"C", "null",3, "Grace Church Office Building"
"802 BROADWAY, New York, NY", undefined, undefined , "GRACE ON BROADWAY", true,"Thursday", "8:15 AM", "9:15 AM" ,"C", "null",3, "Grace Church Office Building"
"28 GRAMMERCY PARK S, New York, NY", undefined, undefined , "GRAMERCY", true,"Monday", "6:30 PM", "7:30 PM" ,"C", "null",3, "Brothhood Synagogue"
"28 GRAMMERCY PARK S, New York, NY", undefined, undefined , "GRAMERCY", true,"Thursday", "6:30 PM", "7:30 PM" ,"S", "null",3, "Brothhood Synagogue"
"209 E 16TH ST, New York, NY", undefined, undefined , "GRATEFUL GROUP OF A.A.", false,"Monday", "5:00 PM", "6:00 PM" ,"B", "null",3, "Saint George Episcopal Church"
"209 E 16TH ST, New York, NY", undefined, undefined , "GRATEFUL GROUP OF A.A.", false,"Friday", "5:00 PM", "6:00 PM" ,"BB", "null",3, "Saint George Episcopal Church"
"209 E 16TH ST, New York, NY", undefined, undefined , "GRATEFUL GROUP OF A.A.", false,"Tuesday", "5:00 PM", "6:00 PM" ,"O", "null",3, "Saint George Episcopal Church"
"209 E 16TH ST, New York, NY", undefined, undefined , "GRATEFUL GROUP OF A.A.", false,"Thursday", "5:00 PM", "6:00 PM" ,"null", "Meditation",3, "Saint George Episcopal Church"
"209 E 16TH ST, New York, NY", undefined, undefined , "GRATEFUL GROUP OF A.A.", false,"Sunday", "5:00 PM", "6:00 PM" ,"O", "Men",3, "Saint George Episcopal Church"
"209 E 16TH ST, New York, NY", undefined, undefined , "GRATEFUL GROUP OF A.A.", false,"Wednesday", "5:00 PM", "6:00 PM" ,"S", "null",3, "Saint George Episcopal Church"
"209 E 16TH ST, New York, NY", undefined, undefined , "GRATEFUL GROUP OF A.A.", false,"Monday", "6:15 PM", "7:00 PM" ,"S", "Fourth Step Workshop",3, "Saint George Episcopal Church"
"44 2ND AVE, New York, NY", undefined, undefined , "GRUPO EL MILAGRO", false,"Sunday", "8:00 PM", "9:00 PM" ,"O", "null",3, "Church of the Nativity"
"229 W 14TH ST, New York, NY", undefined, undefined , "GRUPO GRATITUD", false,"Monday", "8:00 PM", "9:00 PM" ,"C", "null",3, "Our Lady of Guadalupe Church"
"229 W 14TH ST, New York, NY", undefined, undefined , "GRUPO GRATITUD", false,"Tuesday", "8:00 PM", "9:00 PM" ,"O", "null",3, "Our Lady of Guadalupe Church"
"229 W 14TH ST, New York, NY", undefined, undefined , "GRUPO SOBRIEDAD", false,"Tuesday", "1:00 PM", "2:00 PM" ,"C", "null",3, "Our Lady of Guadalupe Church"
"208 W 13TH ST, New York, NY", undefined, undefined , "HIGH NOON", true,"Sunday", "12:00 PM", "1:00 PM" ,"O", "Interpreted for the Deaf",3, "lesbian Gay Bi-Sexual &amp; Transgender Community Center"
"28 GRAMERCY PARK S, New York, NY", undefined, undefined , "JUST FOR TODAY", true,"Tuesday", "7:00 PM", "8:00 PM" ,"S", "null",3, "Brotherhood Synagogue"
"208 W 13TH ST, New York, NY", undefined, undefined , "LAeX", true,"Saturday", "8:00 PM", "9:00 PM" ,"O", "null",3, "lesbian Gay Bisexual &amp; Transgender Community Center"
"307 W 26TH ST, New York, NY", undefined, undefined , "LEARNING TO LIVE ( :1)", true,"Thursday", "12:00 PM", "1:00 AM" ,"C", "Promises",3, "The Upright Citizens Brigade Theatre"
"307 W 26TH ST, New York, NY", undefined, undefined , "LEARNING TO LIVE ( :1)", true,"Monday", "12:00 PM", "1:00 PM" ,"B", "null",3, "The Upright Citizens Brigade Theatre"
